,Country,Bank
424,Belgium,Argenta Spaarbank NV (Commercial Bank)
425,Belgium,BKCP SCRL (Commercial Bank)
426,Belgium,BNP Paribas Fortis SA (Commercial Bank)
427,Belgium,Banca Monte Paschi Belgio (Commercial Bank)
428,Belgium,Bank Dierickx Leys (Commercial Bank)
429,Belgium,Bank J. Van Breda en C° NV (Commercial Bank)
430,Belgium,Banque CPH (Commercial Bank)
431,Belgium,Banque Degroof Petercam SA (Commercial Bank)
432,Belgium,Banque Eni SA (Commercial Bank)
433,Belgium,Banque Nagelmackers SA (Commercial Bank)
434,Belgium,Belfius Bank (Commercial Bank)
435,Belgium,Banque Transatlantique Belgium  (Commercial Bank)
436,Belgium,Beobank SA (Commercial Bank)
437,Belgium,Byblos Bank Europe (Commercial Bank)
438,Belgium,CBC Banque (Commercial Bank)
439,Belgium,CENTEA (Commercial Bank)
440,Belgium,Centrale Kredietverlening (Commercial Bank)
441,Belgium,Crelan SA (Commercial Bank)
442,Belgium,Crédit professionnel SA (Commercial Bank)
443,Belgium,Delen Private Bank SA (Commercial Bank)
444,Belgium,Euroclear Bank (Commercial Bank)
445,Belgium,Europabank (Commercial Bank)
446,Belgium,Goffin Bank NV (Commercial Bank)
447,Belgium,ING Belgium (Commercial Bank)
448,Belgium,KBC Bank NV (Commercial Bank)
449,Belgium,Keytrade Bank SA (Commercial Bank)
450,Belgium,MeDirect Bank SA (Commercial Bank)
451,Belgium,Puilaetco Dewaay Private Bankers  (Commercial Bank)
452,Belgium,Santander Consumer Bank SA (Commercial Bank)
453,Belgium,Saxo Banque (France) SA (Commercial Bank)
454,Belgium,Shizuoka Bank (Europe) SA (Commercial Bank)
455,Belgium,Société Générale Private Banking NV (Commercial Bank)
456,Belgium,The Bank of New York Mellon SA (Commercial Bank)
457,Belgium,United Taiwan Bank SA (Commercial Bank)
458,Belgium,VAN DE PUT & CO Banquiers  (Commercial Bank)
459,Belgium,bpost banque SA (Commercial Bank)
460,Belgium,vdk bank NV (Commercial Bank)
461,Belgium,ABN AMRO Bank NV (Foreign Bank)
462,Belgium,ABN AMRO Clearing Bank SA ( (Foreign Bank)
463,Belgium,AXA Bank Belgium SA (Foreign Bank)
464,Belgium,Aareal Bank AG  (Foreign Bank)
465,Belgium,"Adyen BV, Belgian Branch (Foreign Bank)"
466,Belgium,Arkéa Direct Bank SA (Foreign Bank)
467,Belgium,Attijariwafa bank Europe SA (Foreign Bank)
468,Belgium,BHW Bausparkasse AG (Foreign Bank)
469,Belgium,BNP Paribas (Foreign Bank)
470,Belgium,Banco Bilbao Vizcaya Argentaria (Foreign Bank)
471,Belgium,Banco Santander SA (Foreign Bank)
472,Belgium,Bank of America Merrill Lynch International (Foreign Bank)
473,Belgium,Bank of America (Foreign Bank)
474,Belgium,Bank of Baroda (Foreign Bank)
475,Belgium,Bank of China (Luxembourg) SA (Foreign Bank)
476,Belgium,Bank of India (Foreign Bank)
477,Belgium,Banque BCP (Foreign Bank)
478,Belgium,Banque Chaabi du Maroc (Foreign Bank)
479,Belgium,Banque Degroof Petercam Luxembourg SA (Foreign Bank)
480,Belgium,Banque Internationale à Luxembourg (Foreign Bank)
481,Belgium,Banque PSA Finance SA (Foreign Bank)
482,Belgium,Banque Privée Edmond de Rothschild Europe (Foreign Bank)
483,Belgium,BinckBank NV (Foreign Bank)
484,Belgium,"CA Indosuez Wealth (Europe), succursale en Belgique (Foreign Bank)"
485,Belgium,Caceis Bank (Foreign Bank)
486,Belgium,Caisse d’Epargne Nord France Europe ( (Foreign Bank)
